delay,wire_model,power,mode,metal_layers,utilization,top_level_mod,area,period
2.45,WireAreaLowkAgr,0.0296446,mode3,5,0.90,dsp,40707.072,2.5
2.49,WireAreaLowkAgr,0.029166,mode0,7,0.90,dsp,40707.072,2.5
1.57,WireAreaLowkAgr,0.0517309,mode1,7,0.95,dsp,51389.991,1.53
1.57,WireAreaLowkAgr,0.0516606,mode1,8,0.95,dsp,51389.991,1.53
2.17,WireAreaLowkAgr,0.0330662,mode1,8,0.90,dsp,41936.661,2.22
1.56,WireAreaLowkAgr,0.0503494,mode2,6,0.95,dsp,51389.991,1.53
1.51,WireAreaLowkAgr,0.0518349,mode3,5,0.85,dsp,57436.848,1.53
1.97,WireAreaLowkAgr,0.0365183,mode2,7,0.85,dsp,45358.020,2.0
1.96,WireAreaLowkAgr,0.0375534,mode1,5,0.85,dsp,45358.020,2.0
2.43,WireAreaLowkAgr,0.0295375,mode3,8,0.85,dsp,43101.540,2.5
1.96,WireAreaLowkAgr,0.0364995,mode2,8,0.85,dsp,45358.020,2.0
2.43,WireAreaLowkAgr,0.0295862,mode3,7,0.85,dsp,43101.540,2.5
2.48,WireAreaLowkAgr,0.0291135,mode0,5,0.85,dsp,43101.540,2.5
1.95,WireAreaLowkAgr,0.0369466,mode3,8,0.95,dsp,40583.547,2.0
2.48,WireAreaLowkAgr,0.0295886,mode2,7,0.95,dsp,38565.072,2.5
2.4,WireAreaLowkAgr,0.0305283,mode1,5,0.95,dsp,38565.072,2.5
1.96,WireAreaLowkAgr,0.0369503,mode3,7,0.95,dsp,40583.547,2.0
1.99,WireAreaLowkAgr,0.0363429,mode0,5,0.95,dsp,40583.547,2.0
2.49,WireAreaLowkAgr,0.0295873,mode2,8,0.95,dsp,38565.072,2.5
1.64,WireAreaLowkAgr,0.0466126,mode3,5,0.90,dsp,48331.764,1.66
1.59,WireAreaLowkAgr,0.0504824,mode0,6,0.90,dsp,54244.242,1.53
1.97,WireAreaLowkAgr,0.0370519,none,8,0.90,dsp,42837.885,2.0
1.98,WireAreaLowkAgr,0.0370479,none,7,0.90,dsp,42837.885,2.0
1.99,WireAreaLowkAgr,0.0370372,none,5,0.95,dsp,40583.547,2.0
1.6,WireAreaLowkAgr,0.0504607,none,6,0.95,dsp,51389.991,1.53
2.48,WireAreaLowkAgr,0.0296881,none,5,0.85,dsp,43101.540,2.5
1.66,WireAreaLowkAgr,0.0472617,mode1,8,0.90,dsp,48331.764,1.66
1.52,WireAreaLowkAgr,0.0524762,mode1,8,0.85,dsp,57436.848,1.53
2.44,WireAreaLowkAgr,0.0299422,mode1,8,0.90,dsp,40707.072,2.5
1.96,WireAreaLowkAgr,0.0371464,mode3,5,0.90,dsp,45358.020,2.0
1.98,WireAreaLowkAgr,0.0363501,mode0,7,0.90,dsp,42837.885,2.0
2.47,WireAreaLowkAgr,0.0291681,mode2,5,0.90,dsp,40707.072,2.5
2.44,WireAreaLowkAgr,0.0299586,mode1,7,0.90,dsp,40707.072,2.5
2.17,WireAreaLowkAgr,0.0326891,mode3,5,0.90,dsp,41936.661,2.22
1.51,WireAreaLowkAgr,0.0523326,mode1,7,0.85,dsp,57436.848,1.53
1.97,WireAreaLowkAgr,0.0363608,mode0,8,0.90,dsp,42837.885,2.0
1.71,WireAreaLowkAgr,0.0461666,none,8,0.90,dsp,48331.764,1.66
1.55,WireAreaLowkAgr,0.0510625,none,7,0.85,dsp,57436.848,1.53
1.55,WireAreaLowkAgr,0.0512834,none,8,0.85,dsp,57436.848,1.53
1.69,WireAreaLowkAgr,0.0459201,mode0,5,0.90,dsp,48331.764,1.66
1.54,WireAreaLowkAgr,0.0512172,mode3,6,0.90,dsp,54244.242,1.53
1.55,WireAreaLowkAgr,0.0512399,mode0,5,0.85,dsp,57436.848,1.53
1.57,WireAreaLowkAgr,0.0517429,mode1,6,0.95,dsp,51389.991,1.53
2.17,WireAreaLowkAgr,0.03218,mode2,8,0.90,dsp,41936.661,2.22
2.48,WireAreaLowkAgr,0.0291217,mode0,6,0.90,dsp,40707.072,2.5
1.98,WireAreaLowkAgr,0.0374454,mode1,6,0.90,dsp,42837.885,2.0
1.5,WireAreaLowkAgr,0.0509715,mode2,7,0.85,dsp,57436.848,1.53
2.2,WireAreaLowkAgr,0.032165,mode0,5,0.90,dsp,41936.661,2.22
1.51,WireAreaLowkAgr,0.051133,mode2,8,0.85,dsp,57436.848,1.53
2.48,WireAreaLowkAgr,0.0291045,mode2,6,0.85,dsp,43101.540,2.5
1.97,WireAreaLowkAgr,0.0370525,mode3,6,0.85,dsp,45358.020,2.0
1.65,WireAreaLowkAgr,0.0460727,mode2,8,0.90,dsp,48331.764,1.66
1.98,WireAreaLowkAgr,0.0363406,mode2,6,0.95,dsp,40583.547,2.0
2.46,WireAreaLowkAgr,0.0300588,mode3,6,0.95,dsp,38565.072,2.5
2.19,WireAreaLowkAgr,0.0328403,none,8,0.90,dsp,41936.661,2.22
2.48,WireAreaLowkAgr,0.0297067,none,6,0.90,dsp,40707.072,2.5
